,50s,60s,70s,80s,90s,00s,10s
been,-0.26066704498166876,-1.0304115186570943,0.5497433067737484,0.4967419920735508,-1.3663966053566203,-0.22138342068802339,1.8323732908361174
befor,-0.6992458945447144,0.778719613684635,-0.15396880646905545,0.34530870941397,0.7214815638921529,0.06319208957567153,-1.055487275552663
behind,-0.573278393431893,1.3248284355797129,0.22812351558265928,0.1642327186825445,-0.29337163749515754,-0.15815948126229062,-0.6923751576555617
believ,-0.6090582145825499,-0.6039269503101415,0.2959418996588905,0.8167055113361734,0.3500613959982887,0.5931687869645884,-0.8428924290652469
belong,1.000592594722682,-0.2737187596616795,-0.475719560771993,-0.2954589672275499,0.18171631628884174,0.11955305508327413,-0.2569646784335755
best,-0.08898211384205434,-0.8119733479840346,0.4398922434736331,0.24111724683839628,-0.13597614994554855,0.31084980659690653,0.04507231486270891
better,-1.7391191721975625,0.5830020032264314,-0.5968916965358917,0.4504579794460552,-0.4281256964110774,1.0697176728054094,0.6609589096666443
big,0.36255466743492426,0.7344726655115146,-0.0975603423439721,-0.41242783608785893,0.10421346779805023,-0.07211014695685539,-0.6191424753558039
bit,-0.5957539139879711,1.0066209665163846,-0.1652408655055376,-0.12666193557067518,0.019273622857071255,0.07504702040366848,-0.2132848947129472
bitch,0.007317756491605238,-0.6061941659330047,-0.024250827676347005,-0.7055866868609896,-0.02091422186905953,-0.18231706755151866,1.531945213399307
black,0.3304937218415167,-0.4495585884201102,0.3648870533504608,-0.5964138395946077,0.3601252643514631,-0.33041783335378794,0.3208842218250664
blame,0.29738960301612744,-0.9408927501097054,0.09932205810781912,0.4325255313859411,-0.11843637977666661,-0.25297434207937836,0.4830662794558667
blow,-0.07681446743800198,-0.5188679645078642,0.15539137654183174,-0.13612057289907556,0.02621376679729927,-0.55031460971297,1.1005124712187875
blue,3.3542278027669887,0.5869807057588508,0.38868040369022033,-0.4544351099912513,-1.0397441589949974,-1.214630537669256,-1.62107910556057
bodi,-0.9297424125896261,-1.2856826798036642,-1.0677873601279617,-0.23018408493770207,1.287133708977113,0.5082586983682267,1.7180041301136162
boom,-0.28941713327991414,-0.8237611727854163,-0.7753826821576383,-0.5886767070256327,1.0773248321715785,0.6341125043516329,0.7658003587253834
born,0.19771638903755226,0.28599229816706034,0.3368935981658375,-0.04408904359496985,-0.7034769410004841,0.009790684812233564,-0.08282698558722952
both,-0.19918728214209439,0.39776780467032485,0.3887350847816126,-0.09398579014673603,-0.603000631973496,-0.3193104159846775,0.4289812307950683
bout,-0.3632236413186408,0.18686637569030312,-0.6085278036701316,-0.8794186934144288,-0.03580990376088675,0.5916930798986468,1.108420586575139
boy,-0.18910530255785976,-0.7066419576480086,-0.09831836201317462,0.24356044140722483,-0.3138556427014071,1.0001735970868153,0.06418722642640809
break,-0.16390064533990248,0.159134919384284,-0.5047564170349619,-0.40712793171513634,0.28250647553651936,0.369034109401599,0.2651094897676049
breath,-1.0531519828844347,-0.888514840454891,-0.500572878180889,-0.06551304167519097,0.1858321614773036,1.8027074161910532,0.5192131655270514
bring,-0.12052174777580141,0.11462786703455038,0.06816125882110319,0.061909443349530024,-0.13981697182101402,0.02923354363557721,-0.013593393243944986
broken,0.5978821972146777,-0.731442930234334,-0.6716245955924582,0.03687274588654547,-0.28244737186938507,0.15756186292340862,0.893198091671542
burn,-0.08492159067555674,-0.4818835497764551,0.39015599875725915,0.3307881819372074,-0.01325528292960445,-0.6140120094748821,0.4731282521620344
but,0.181811599962569,-0.3795710991281385,-0.3126278440805132,-1.86568201030807,0.16636930912153244,1.0797252880035386,1.1299747564290854
by,0.1645632830606063,1.1068123886872774,-0.12249208520875568,-0.34660761316147537,0.15732962805940923,-0.24376409058224816,-0.7158415108548125
bye,1.764305537947857,-0.7855035399993648,-0.20933393410950135,-0.7448617553739215,-0.0074475047331036826,0.521805621584112,-0.538964425316067
call,-0.22107589192258922,-0.23920307014730738,0.14152439812460693,0.5892842993126894,-0.6272920607136118,0.31500604694555384,0.041756278400663774
came,-0.2260852425194679,-0.007074470583878482,0.09337962506309397,-0.6623150917371561,0.23336751348371979,-0.41753049084514765,0.9862581571388374
can,-0.8827439847101932,-0.5154496876224797,0.6471590859044106,0.4201729669632147,-0.07053223966974252,0.6437337939198899,-0.24233993478509633
cant,0.10349721009431628,-0.3134037331383777,0.2677269162493042,-0.8576502441055639,0.30855482044724747,0.4841568225990865,0.00711820785399421
car,-0.1791093743856301,-0.33344604629697017,0.35594724015031054,-0.07160063490215812,-0.38829884964628636,0.2413919468268156,0.37511571825392104
care,0.5504682908971158,-0.5060901876353048,-0.1160883469347183,0.2536632701011176,0.24886206722068702,-1.0990845691654165,0.6682694755165212
caus,-0.7755354122493058,-1.265098877148523,-0.838229758539377,-2.0788958425742603,0.5683524275370613,1.7342273261099508,2.6551801368644616
chanc,-0.45871435498848334,0.06110083335286242,0.03252077703664345,0.46218092912962583,0.11252357678527476,0.6828087384718322,-0.8924204997877575
chang,-0.6904582916777846,0.21008409565746847,-0.44452075976066274,0.6923870670747755,0.5072584926185929,-0.5120370080398531,0.23728640412746577
citi,-0.8775343173396857,0.4181739195896679,0.9480900489082542,-0.2515125761821522,-0.6526945862128186,-0.3775121498519774,0.7929896610887184
close,-0.06931802621726785,-0.6671200246080125,0.9546967297286357,-0.909547909625186,0.312729791354423,-0.23285871671286126,0.6114181560802806
club,-0.3879367779627413,-0.5778650074485946,-0.6919551916952409,-0.556749368746833,-0.05460638698850724,1.9207653559409863,0.348347376900928
cold,-0.25495875692171494,0.3394915607915397,0.3333608336622594,-0.1890940710213411,0.028061635498152042,-0.520212109038028,0.2633509070291381
come,-0.4390543025967587,0.4725931480976096,0.28568063101233254,-0.033222122168615316,1.0425791394393689,-0.0654511799591725,-1.263125313824758
